iter	Passed	Remaining
0	59	59659
1	60	29951
2	60	20043
3	60	15089
4	60	12116
5	61	10128
6	61	8714
7	61	7654
8	62	6828
9	62	6168
10	62	5628
11	62	5174
12	63	4795
13	63	4469
14	63	4186
15	63	3935
16	64	3717
17	64	3522
18	64	3349
19	65	3192
20	65	3052
21	65	2923
22	66	2806
23	66	2698
24	66	2599
25	66	2507
26	67	2422
27	67	2342
28	67	2269
29	68	2200
30	68	2136
31	68	2075
32	68	2020
33	69	1966
34	69	1916
35	69	1869
36	70	1824
37	70	1781
38	70	1741
39	70	1702
40	71	1665
41	71	1630
42	71	1597
43	72	1565
44	72	1535
45	72	1506
46	72	1478
47	73	1451
48	73	1426
49	73	1402
50	74	1379
51	74	1358
52	74	1336
53	75	1315
54	75	1295
55	75	1275
56	75	1256
57	76	1239
58	77	1238
59	78	1226
60	78	1214
61	83	1257
62	83	1245
63	84	1232
64	84	1220
65	85	1205
66	85	1190
67	85	1175
68	86	1160
69	86	1146
70	86	1133
71	86	1119
72	87	1106
73	87	1094
74	87	1081
75	87	1069
76	88	1058
77	88	1047
78	88	1036
79	89	1025
80	89	1015
81	89	1004
82	89	992
83	90	983
84	90	973
85	93	994
86	93	984
87	94	975
88	94	966
89	94	957
90	94	948
91	95	939
92	95	931
93	95	923
94	96	915
95	96	908
96	97	903
97	97	898
98	98	891
99	98	888
100	99	883
101	99	878
102	100	873
103	100	869
104	101	864
105	101	858
106	102	851
107	102	845
108	102	838
109	102	832
110	103	826
111	103	820
112	103	814
113	104	809
114	104	806
115	105	802
116	105	797
117	109	816
118	109	811
119	109	805
120	110	800
121	111	801
122	115	822
123	116	821
124	116	818
125	117	814
126	117	810
127	118	807
128	119	804
129	123	826
130	124	823
131	124	817
132	126	824
133	126	820
134	127	815
135	127	810
136	127	805
137	128	800
138	128	795
139	128	790
140	128	785
141	129	779
142	129	777
143	129	772
144	130	768
145	130	763
146	130	759
147	131	755
148	131	750
149	131	746
150	132	742
151	132	738
152	132	733
153	132	729
154	133	725
155	133	721
156	133	717
157	133	713
158	134	709
159	134	706
160	134	701
161	136	705
162	145	745
163	145	741
164	145	737
165	146	733
166	146	730
167	146	726
168	147	722
169	147	719
170	147	715
171	147	711
172	148	708
173	148	704
174	148	701
175	148	697
176	149	694
177	149	690
178	149	687
179	150	683
180	150	680
181	150	677
182	153	686
183	153	682
184	154	679
185	154	676
186	154	672
187	155	669
188	155	666
189	155	663
190	155	660
191	156	657
192	156	654
193	156	651
194	158	652
195	158	650
196	158	647
197	159	644
198	159	641
199	159	638
200	160	636
201	160	633
202	160	630
203	160	627
204	161	624
205	161	622
206	161	619
207	161	616
208	162	614
209	162	611
210	162	608
211	163	606
212	164	606
213	164	604
214	164	602
215	165	599
216	168	606
217	168	604
218	168	601
219	169	599
220	169	596
221	169	594
222	169	592
223	170	589
224	170	587
225	170	584
226	171	582
227	171	580
228	171	577
229	171	575
230	172	572
231	172	570
232	172	568
233	173	566
234	173	564
235	173	561
236	173	559
237	174	557
238	174	555
239	174	553
240	175	553
241	175	551
242	176	549
243	176	547
244	176	545
245	177	543
246	177	541
247	177	538
248	178	536
249	178	535
250	178	532
251	180	535
252	180	533
253	181	531
254	181	529
255	181	527
256	183	530
257	184	529
258	184	528
259	186	529
260	186	527
261	186	525
262	186	523
263	187	521
264	187	519
265	187	517
266	188	516
267	188	515
268	188	513
269	189	511
270	189	509
271	189	507
272	190	506
273	190	504
274	190	502
275	191	501
276	191	499
277	191	497
278	192	496
279	192	494
280	192	492
281	192	491
282	193	489
283	193	487
284	193	485
285	193	484
286	194	482
287	194	481
288	195	481
289	195	479
290	196	477
291	198	481
292	198	479
293	199	478
294	199	476
295	199	475
296	200	474
297	200	472
298	200	470
299	201	469
300	201	467
301	201	466
302	202	464
303	202	463
304	202	461
305	203	460
306	203	458
307	203	457
308	203	455
309	204	454
310	204	453
311	204	451
312	205	450
313	205	448
314	205	446
315	205	445
316	206	444
317	206	442
318	206	441
319	206	439
320	207	438
321	207	437
322	207	435
323	208	434
324	208	432
325	208	431
326	209	430
327	209	428
328	209	427
329	209	426
330	210	424
331	210	423
332	210	421
333	210	420
334	211	419
335	211	417
336	211	416
337	212	415
338	212	413
339	212	412
340	212	411
341	213	410
342	213	409
343	214	408
344	214	406
345	214	405
346	214	404
347	215	403
348	215	401
349	215	400
350	215	399
351	216	398
352	216	396
353	216	395
354	217	394
355	217	393
356	217	392
357	217	390
358	218	389
359	218	388
360	218	387
361	219	386
362	219	385
363	219	384
364	220	383
365	220	382
366	221	381
367	221	380
368	221	379
369	222	378
370	222	377
371	222	375
372	222	374
373	223	373
374	223	372
375	224	371
376	224	370
377	224	369
378	224	368
379	225	367
380	225	366
381	225	365
382	225	363
383	226	362
384	226	362
385	227	361
386	227	359
387	227	358
388	227	357
389	228	356
390	228	355
391	228	354
392	228	353
393	229	352
394	229	351
395	229	350
396	230	349
397	230	348
398	230	347
399	231	346
400	232	346
401	232	345
402	232	344
403	233	343
404	233	342
405	233	341
406	233	340
407	234	339
408	234	339
409	234	338
410	235	337
411	235	336
412	235	335
413	236	334
414	236	333
415	236	332
416	236	331
417	237	330
418	237	329
419	237	328
420	238	327
421	238	326
422	238	325
423	238	324
424	239	323
425	239	322
426	239	321
427	239	320
428	240	319
429	240	318
430	240	317
431	241	316
432	241	315
433	241	315
434	241	314
435	242	313
436	242	312
437	242	311
438	243	310
439	243	310
440	243	309
441	244	308
442	244	307
443	244	306
444	245	305
445	245	304
446	245	304
447	246	303
448	246	302
449	246	301
450	246	300
451	247	299
452	247	298
453	247	297
454	247	296
455	248	296
456	248	295
457	248	294
458	249	293
459	249	292
460	249	291
461	249	291
462	250	290
463	250	289
464	250	288
465	250	287
466	251	286
467	251	285
468	251	285
469	252	284
470	252	283
471	252	282
472	252	281
473	253	280
474	253	280
475	253	279
476	253	278
477	254	277
478	254	276
479	254	276
480	255	275
481	255	274
482	255	273
483	255	272
484	256	272
485	256	271
486	256	270
487	257	269
488	257	268
489	257	268
490	257	267
491	258	266
492	258	265
493	258	265
494	259	264
495	259	263
496	259	262
497	259	262
498	260	261
499	260	260
500	260	259
501	261	259
502	261	258
503	261	257
504	261	256
505	262	255
506	262	255
507	262	254
508	263	253
509	263	253
510	263	252
511	264	251
512	264	251
513	264	250
514	265	249
515	265	248
516	265	248
517	265	247
518	266	246
519	266	246
520	266	245
521	267	244
522	267	243
523	267	243
524	268	242
525	268	241
526	268	241
527	269	240
528	269	239
529	269	239
530	269	238
531	270	237
532	270	236
533	270	236
534	271	235
535	271	234
536	271	234
537	272	233
538	272	233
539	272	232
540	273	231
541	273	231
542	274	230
543	274	229
544	274	229
545	274	228
546	275	227
547	275	227
548	275	226
549	275	225
550	276	225
551	276	224
552	277	223
553	277	223
554	277	222
555	277	221
556	278	221
557	278	220
558	278	219
559	278	219
560	279	218
561	279	217
562	279	216
563	279	216
564	280	215
565	280	214
566	280	214
567	280	213
568	281	212
569	281	212
570	281	211
571	282	211
572	282	210
573	282	209
574	283	209
575	283	208
576	283	207
577	283	207
578	284	206
579	284	205
580	284	205
581	284	204
582	285	203
583	285	203
584	285	202
585	286	202
586	286	201
587	286	200
588	286	200
589	287	199
590	287	198
591	287	198
592	287	197
593	288	197
594	288	196
595	288	195
596	289	195
597	289	194
598	289	194
599	290	193
600	290	192
601	290	192
602	290	191
603	291	190
604	291	190
605	291	189
606	291	189
607	292	188
608	292	187
609	292	187
610	293	186
611	293	186
612	293	185
613	293	184
614	294	184
615	294	183
616	294	183
617	295	182
618	295	181
619	295	181
620	295	180
621	296	180
622	296	179
623	296	178
624	296	178
625	297	177
626	297	176
627	297	176
628	298	175
629	298	175
630	298	174
631	298	174
632	299	173
633	299	172
634	299	172
635	300	171
636	300	171
637	300	170
638	300	169
639	301	169
640	301	168
641	301	168
642	301	167
643	302	167
644	302	166
645	302	165
646	303	165
647	303	164
648	303	164
649	304	163
650	315	169
651	315	168
652	316	167
653	316	167
654	316	166
655	317	166
656	320	167
657	321	167
658	322	166
659	331	170
660	331	170
661	332	169
662	332	168
663	333	168
664	338	170
665	339	170
666	339	169
667	339	168
668	340	168
669	340	167
670	340	167
671	341	166
672	341	165
673	341	165
674	342	164
675	342	164
676	343	163
677	343	163
678	344	162
679	344	162
680	344	161
681	344	160
682	345	160
683	345	159
684	345	159
685	346	158
686	346	157
687	347	157
688	348	157
689	349	156
690	349	156
691	350	155
692	350	155
693	351	154
694	351	154
695	351	153
696	352	153
697	352	152
698	352	151
699	353	151
700	354	151
701	354	150
702	354	149
703	355	149
704	355	148
705	355	148
706	355	147
707	356	146
708	356	146
709	356	145
710	357	145
711	357	144
712	357	143
713	357	143
714	358	142
715	358	142
716	358	141
717	359	141
718	359	140
719	359	139
720	359	139
721	360	138
722	360	138
723	360	137
724	361	136
725	361	136
726	361	135
727	362	135
728	362	134
729	363	134
730	363	133
731	364	133
732	364	132
733	364	132
734	364	131
735	365	130
736	365	130
737	365	129
738	365	129
739	366	128
740	366	128
741	366	127
742	367	126
743	367	126
744	367	125
745	368	125
746	368	124
747	368	124
748	369	123
749	369	123
750	369	122
751	369	121
752	370	121
753	370	120
754	371	120
755	371	119
756	371	119
757	371	118
758	372	118
759	372	117
760	373	117
761	373	116
762	373	116
763	374	115
764	374	115
765	374	114
766	375	113
767	375	113
768	375	112
769	376	112
770	376	111
771	376	111
772	377	110
773	377	110
774	378	109
775	378	109
776	378	108
777	379	108
778	379	107
779	379	107
780	380	106
781	380	106
782	380	105
783	380	104
784	381	104
785	381	103
786	381	103
787	382	102
788	382	102
789	382	101
790	382	101
791	383	100
792	383	100
793	383	99
794	384	99
795	384	98
796	384	98
797	385	97
798	385	96
799	385	96
800	385	95
801	386	95
802	386	94
803	386	94
804	387	93
805	387	93
806	387	92
807	387	92
808	388	91
809	388	91
810	388	90
811	388	90
812	389	89
813	389	88
814	389	88
815	389	87
816	390	87
817	390	86
818	390	86
819	391	85
820	391	85
821	391	84
822	392	84
823	392	83
824	392	83
825	393	82
826	393	82
827	393	81
828	393	81
829	394	80
830	394	80
831	394	79
832	395	79
833	395	78
834	395	78
835	396	77
836	396	77
837	396	76
838	397	76
839	397	75
840	397	75
841	397	74
842	398	74
843	398	73
844	398	73
845	398	72
846	399	72
847	399	71
848	399	71
849	400	70
850	400	70
851	400	69
852	400	69
853	401	68
854	401	68
855	401	67
856	402	67
857	402	66
858	402	66
859	403	65
860	403	65
861	403	64
862	403	64
863	404	63
864	404	63
865	404	62
866	405	62
867	405	61
868	405	61
869	405	60
870	406	60
871	406	59
872	406	59
873	407	58
874	407	58
875	407	57
876	408	57
877	408	56
878	408	56
879	409	55
880	409	55
881	409	54
882	409	54
883	410	53
884	410	53
885	410	52
886	411	52
887	411	51
