iter	Passed	Remaining
0	57	56946
1	57	28691
2	57	19243
3	58	14524
4	58	11681
5	59	9782
6	59	8423
7	59	7400
8	60	6607
9	60	5973
10	60	5453
11	61	5028
12	61	4660
13	61	4347
14	62	4072
15	62	3833
16	62	3621
17	63	3440
18	63	3273
19	63	3121
20	64	2989
21	64	2864
22	64	2750
23	65	2645
24	65	2549
25	65	2460
26	65	2377
27	66	2301
28	66	2230
29	66	2164
30	67	2100
31	67	2042
32	67	1987
33	68	1937
34	68	1889
35	68	1842
36	69	1798
37	69	1757
38	69	1718
39	70	1680
40	70	1644
41	70	1609
42	70	1577
43	71	1546
44	71	1519
45	72	1503
46	72	1477
47	73	1450
48	73	1425
49	73	1400
50	74	1377
51	74	1354
52	74	1332
53	74	1311
54	75	1291
55	75	1274
56	75	1255
57	76	1238
58	77	1230
59	77	1212
60	77	1195
61	77	1179
62	78	1163
63	78	1150
64	78	1135
65	79	1121
66	79	1108
67	79	1094
68	80	1081
69	80	1067
70	80	1055
71	80	1043
72	81	1030
73	81	1018
74	81	1007
75	82	997
76	82	986
77	82	976
78	82	966
79	83	956
80	83	948
81	83	939
82	84	928
83	84	919
84	84	911
85	85	904
86	85	895
87	85	887
88	85	879
89	86	872
90	86	865
91	86	857
92	87	850
93	87	842
94	87	835
95	88	828
96	88	821
97	88	814
98	88	808
99	89	801
100	89	794
101	89	788
102	89	783
103	90	777
104	90	772
105	90	766
106	91	761
107	91	755
108	91	750
109	92	745
110	92	740
111	92	734
112	92	729
113	93	724
114	93	719
115	93	714
116	93	709
117	94	704
118	94	699
119	94	695
120	95	691
121	95	686
122	95	681
123	95	677
124	96	673
125	96	669
126	96	664
127	96	660
128	97	656
129	97	652
130	97	648
131	98	644
132	98	640
133	98	636
134	98	633
135	99	629
136	99	626
137	99	623
138	100	619
139	100	616
140	100	613
141	100	608
142	101	605
143	101	602
144	101	599
145	101	595
146	102	592
147	102	589
148	102	586
149	102	583
150	103	579
151	103	576
152	103	573
153	103	571
154	104	568
155	104	565
156	104	562
157	105	559
158	105	557
159	105	554
160	105	550
161	105	548
162	106	545
163	106	542
164	106	540
165	106	537
166	107	534
167	107	532
168	107	530
169	108	527
170	108	525
171	108	522
172	108	520
173	109	518
174	109	516
175	109	514
176	110	511
177	110	510
178	110	507
179	111	505
180	111	503
181	111	501
182	111	499
183	112	497
184	112	495
185	112	493
186	113	491
187	113	489
188	113	487
189	113	485
190	114	483
191	114	481
192	114	479
193	114	477
194	115	475
195	115	473
196	115	471
197	116	470
198	116	468
199	116	466
200	116	464
201	117	463
202	117	461
203	117	459
204	117	457
205	118	455
206	118	454
207	118	452
208	119	450
209	119	448
210	119	447
211	119	445
212	120	443
213	120	442
214	120	440
215	121	439
216	121	437
217	121	436
218	121	434
219	122	432
220	122	431
221	122	429
222	122	427
223	123	426
224	123	425
225	123	423
226	123	422
227	124	420
228	124	419
229	124	417
230	125	416
231	125	414
232	125	413
233	125	412
234	126	410
235	126	409
236	126	407
237	126	406
238	127	405
239	127	403
240	127	402
241	128	401
242	128	399
243	128	398
244	128	396
245	129	395
246	129	394
247	129	393
248	129	391
249	130	390
250	130	389
251	130	388
252	131	387
253	131	385
254	131	384
255	131	383
256	132	382
257	132	381
